index;date;state;country;confirmed;confirmed_DR;confirmed_filtered;confirmed_filtered_DR
0;2020-01-22;Alberta;Canada;0.0;;0.0;
1;2020-01-22;Anguilla;United Kingdom;0.0;;0.0;
2;2020-01-22;Anhui;China;1.0;;-4.799999999999992;
3;2020-01-22;Aruba;Netherlands;0.0;;0.0;
4;2020-01-22;Australian Capital Territory;Australia;0.0;;0.0;
5;2020-01-22;Beijing;China;14.0;;10.8;
6;2020-01-22;Bermuda;United Kingdom;0.0;;0.0;
7;2020-01-22;Bonaire, Sint Eustatius and Saba;Netherlands;0.0;;0.0;
8;2020-01-22;British Columbia;Canada;0.0;;0.0;
9;2020-01-22;British Virgin Islands;United Kingdom;0.0;;0.0;
10;2020-01-22;Cayman Islands;United Kingdom;0.0;;0.0;
11;2020-01-22;Channel Islands;United Kingdom;0.0;;0.0;
12;2020-01-22;Chongqing;China;6.0;;-2.3999999999999866;
13;2020-01-22;Curacao;Netherlands;0.0;;0.0;
14;2020-01-22;Diamond Princess;Canada;0.0;;0.0;
15;2020-01-22;Falkland Islands (Malvinas);United Kingdom;0.0;;0.0;
16;2020-01-22;Faroe Islands;Denmark;0.0;;0.0;
17;2020-01-22;French Guiana;France;0.0;;0.0;
18;2020-01-22;French Polynesia;France;0.0;;0.0;
19;2020-01-22;Fujian;China;1.0;;-2.399999999999994;
20;2020-01-22;Gansu;China;0.0;;-0.199999999999999;
21;2020-01-22;Gibraltar;United Kingdom;0.0;;0.0;
22;2020-01-22;Grand Princess;Canada;0.0;;0.0;
23;2020-01-22;Greenland;Denmark;0.0;;0.0;
24;2020-01-22;Guadeloupe;France;0.0;;0.0;
25;2020-01-22;Guangdong;China;26.0;;16.80000000000001;
26;2020-01-22;Guangxi;China;2.0;;0.6000000000000014;
27;2020-01-22;Guizhou;China;1.0;;1.3999999999999995;
28;2020-01-22;Hainan;China;4.0;;1.6000000000000048;
29;2020-01-22;Hebei;China;1.0;;-1.199999999999997;
30;2020-01-22;Heilongjiang;China;0.0;;-1.3999999999999984;
31;2020-01-22;Henan;China;5.0;;-9.799999999999976;
32;2020-01-22;Hong Kong;China;0.0;;-0.4;
33;2020-01-22;Hubei;China;444.0;;342.1999999999998;
34;2020-01-22;Hunan;China;4.0;;-2.999999999999993;
35;2020-01-22;Inner Mongolia;China;0.0;;-1.199999999999998;
36;2020-01-22;Isle of Man;United Kingdom;0.0;;0.0;
37;2020-01-22;Jiangsu;China;1.0;;-2.199999999999995;
38;2020-01-22;Jiangxi;China;2.0;;0.400000000000002;
39;2020-01-22;Jilin;China;0.0;;0.2000000000000006;
40;2020-01-22;Liaoning;China;2.0;;-0.999999999999997;
41;2020-01-22;Macau;China;1.0;;0.8;
42;2020-01-22;Manitoba;Canada;0.0;;0.0;
43;2020-01-22;Martinique;France;0.0;;0.0;
44;2020-01-22;Mayotte;France;0.0;;0.0;
45;2020-01-22;Montserrat;United Kingdom;0.0;;0.0;
46;2020-01-22;New Brunswick;Canada;0.0;;0.0;
47;2020-01-22;New Caledonia;France;0.0;;0.0;
48;2020-01-22;New South Wales;Australia;0.0;;-0.599999999999999;
49;2020-01-22;Newfoundland and Labrador;Canada;0.0;;0.0;
50;2020-01-22;Ningxia;China;1.0;;0.6000000000000002;
51;2020-01-22;Northern Territory;Australia;0.0;;0.0;
52;2020-01-22;Northwest Territories;Canada;0.0;;0.0;
53;2020-01-22;Nova Scotia;Canada;0.0;;0.0;
54;2020-01-22;Ontario;Canada;0.0;;-0.19999999999999973;
55;2020-01-22;Prince Edward Island;Canada;0.0;;0.0;
56;2020-01-22;Qinghai;China;0.0;;-0.19999999999999965;
57;2020-01-22;Quebec;Canada;0.0;;0.0;
58;2020-01-22;Queensland;Australia;0.0;;0.0;
59;2020-01-22;Reunion;France;0.0;;0.0;
